Loan ID,Borrower ID,Security value,Loan amount,Loan to value,Maturity,Your investment,Percentage of loanbook,Loan status,Loan Risk Category,Truncated Loan ID,Loan Parts in Loan,Original maturity date,Maturity date extended
9268261 b,8767441,"£700,000","£37,000",48.86%,09 Dec 2024,£2.164500,0.04%,Live,2,9268261,3,09/12/2024,0
9915852 b,8490291,"£1,175,000","£75,000",37.74%,29 Nov 2024,£4.387500,0.08%,Live,2,9915852,2,29/11/2024,0
9332574 b,8383924,"£1,010,000","£30,000",50.00%,11 Dec 2024,£1.755000,0.03%,Live,2,9332574,5,11/12/2024,0
9224661 b,8711007,"£1,071,952","£60,000",48.98%,27 Dec 2024,£3.510000,0.06%,Extended (No ICF),2,9224661,6,27/12/2024,0
9509546,8725572,"£450,000","£225,000",50.00%,07 Sep 2024,£13.162500,0.24%,Live,2,9509546,1,07/09/2024,0
9207489,8920828,"£825,000","£375,000",49.70%,12 Feb 2025,£21.937500,0.39%,Live,2,9207489,2,12/02/2025,0
9419987,8784893,"£600,000","£212,500",46.25%,13 Mar 2025,£12.431250,0.22%,Live,2,9419987,2,13/03/2025,0
9361099,8330158,"£1,700,000","£850,000",50.00%,17 Mar 2025,£49.725000,0.89%,Live,2,9361099,1,17/03/2025,0
9615808,8303446,"£1,000,000","£357,500",49.75%,27 Feb 2025,£20.913750,0.37%,Live,2,9615808,3,27/02/2025,0
9173264 c,8630405,"£1,650,000","£35,000",49.70%,21 Jan 2025,£2.047500,0.04%,Live,2,9173264,4,21/01/2025,0
9455066 d,8587271,"£980,000","£60,000",49.95%,22 Dec 2024,£3.510000,0.06%,Extended (No ICF),2,9455066,6,22/12/2024,0
9684217,8847465,"£650,000","£230,000",47.69%,17 Mar 2025,£13.455000,0.24%,Live,2,9684217,2,17/03/2025,0
9741403 b,8632805,"£650,000","£60,000",50.00%,01 Jan 2025,£3.510000,0.06%,Live,2,9741403,3,01/01/2025,0
9502560,8147047,"£320,000","£160,000",50.00%,17 Mar 2025,£9.360000,0.17%,Live,2,9502560,1,17/03/2025,0
9211501,8510280,"£643,000","£255,000",48.21%,17 Feb 2025,£14.917500,0.27%,Live,2,9211501,3,17/02/2025,0
9519813,8715608,"£510,000","£255,000",50.00%,18 Sep 2024,£14.917500,0.27%,Live,2,9519813,1,18/09/2024,0
9139612 c,8728067,"£2,050,000","£40,000",39.15%,24 Nov 2024,£2.340000,0.04%,Extended (No ICF),2,9139612,3,24/02/2024,274
9946288,8155235,"£475,000","£237,500",50.00%,21 Mar 2025,£13.893750,0.25%,Live,2,9946288,1,21/03/2025,0
9207543,8945882,"£590,000","£272,500",46.19%,20 Mar 2025,£15.941250,0.29%,Live,2,9207543,1,20/03/2025,0
9332574 c,8383924,"£1,010,000","£25,000",50.00%,11 Dec 2024,£1.462500,0.03%,Live,2,9332574,5,11/12/2024,0
9170966 c,8779897,"£1,500,000","£100,000",36.17%,02 Feb 2025,£5.850000,0.10%,Extended (No ICF),2,9170966,3,02/08/2024,184
9859840,8510280,"£550,000","£200,000",49.82%,24 Feb 2025,£11.700000,0.21%,Live,2,9859840,4,24/02/2025,0
9910181,8824575,"£1,639,520","£400,000",33.55%,12 Nov 2024,£23.400000,0.42%,Live,2,9910181,2,12/11/2024,0
9583388,8879922,"£370,000","£170,000",45.95%,26 Sep 2024,£9.945000,0.18%,Extended (No ICF),2,9583388,1,26/09/2024,0
9577089,8551869,"£650,000","£325,000",50.00%,27 Mar 2025,£19.012500,0.34%,Live,2,9577089,1,27/03/2025,0
9345832,8786871,"£570,000","£250,000",50.00%,25 Mar 2025,£14.625000,0.26%,Live,2,9345832,2,25/03/2025,0
9455066 e,8587271,"£980,000","£50,000",49.95%,22 Dec 2024,£2.925000,0.05%,Extended (No ICF),2,9455066,6,22/12/2024,0
9679391,8580659,"£500,000","£245,000",49.00%,12 Mar 2025,£14.332500,0.26%,Live,2,9679391,1,12/03/2025,0
9265535,8829843,"£385,000","£150,000",38.96%,27 Mar 2025,£8.775000,0.16%,Live,2,9265535,1,27/03/2025,0
9226107,8505177,"£330,000","£165,000",50.00%,02 Apr 2025,£9.652500,0.17%,Live,2,9226107,1,02/04/2025,0
9307914,8138235,"£370,000","£185,000",50.00%,03 Oct 2024,£10.822500,0.19%,Live,2,9307914,1,03/10/2024,0
9749899,8420655,"£1,600,000","£630,000",42.19%,04 Apr 2025,£36.855000,0.66%,Live,2,9749899,2,04/04/2025,0
9478822,8860007,"£840,000","£400,000",47.62%,03 Mar 2025,£23.400000,0.42%,Live,2,9478822,1,03/03/2025,0
