Date,Transaction Type,Loan,Amount,Balance,Contract,Cash Flow,Date Value
16/02/2023 16:45:23,I and F fee,Badminton Developments Limited – Drawdown 3,-£0.50,£250.81,,,16/02/2023
16/02/2023 16:45:23,Loan Repayment,Badminton Developments Limited – Drawdown 3 Ref: 212253,£250.00,£251.31,,,16/02/2023
17/02/2023 10:28:58,Auction completion,SNV Construction Limited – Drawdown 14,-£250.00,£5.58,,,17/02/2023
15/05/2023 14:53:47,I and F fee,BK Grove Limited – Drawdown 9,-£0.46,£109.19,,,15/05/2023
15/05/2023 14:53:47,Loan Repayment,BK Grove Limited – Drawdown 9,£100.00,£109.65,,,15/05/2023
15/05/2023 14:53:47,Loan Repayment Interest,BK Grove Limited – Drawdown 9,£4.07,£9.65,,,15/05/2023
17/05/2023 15:03:58,Auction completion,Hawfinch Homes Limited – Drawdown 8,-£100.00,£9.19,,,17/05/2023
20/06/2023 10:45:56,I and F fee,Airshack Projects Ltd – Drawdown 3,-£0.55,£113.65,,,20/06/2023
20/06/2023 10:45:56,Loan Repayment,Airshack Projects Ltd – Drawdown 3,£100.00,£114.20,,,20/06/2023
20/06/2023 10:45:56,Loan Repayment Interest,Airshack Projects Ltd – Drawdown 3,£5.01,£14.20,,,20/06/2023
20/06/2023 14:23:45,Auction completion,Airshack Projects Ltd (2) – Drawdown 1,-£100.00,£13.65,,,20/06/2023
